car_id,scraped_at,is_accident_free,inspection_grade,has_sunroof,has_led_lamp,has_parking_sensor,has_rear_camera,has_auto_ac,has_smart_key,has_navigation,has_heated_seat,has_ventilated_seat,has_leather_seat,num_keys,has_tinting,tire_tread_front,tire_tread_rear,region,is_encar_direct,has_warranty
40984394,2025-11-24 18:47:42,0,normal,1,0,1,1,1,1,1,1,1,1,,0.0,,,더 뉴 셀토스   가솔린 1.6 터보 2WD 트렌디 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40864716,2025-11-24 18:47:45,0,good,1,1,1,1,1,1,1,1,1,1,,0.0,,,더 뉴 QM6   2.0 GDe 프리미에르 2WD 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40960715,2025-11-24 18:47:48,0,normal,1,1,1,1,1,1,1,1,1,1,,,,,더 뉴 그랜저 IG   2.5 프리미엄 초이스 인천 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40511345,2025-11-24 18:47:50,0,normal,1,1,1,1,1,1,1,1,1,1,,0.0,,,더 뉴 그랜저 IG   2.5 프리미엄 초이스 인천 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
38205453,2025-11-24 18:47:53,0,good,1,0,1,1,1,1,1,1,1,1,,,,,EQ900   3.3 T-GDI 럭셔리 인천 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40751418,2025-11-24 18:47:56,0,excellent,1,1,1,1,1,1,1,1,1,1,,0.0,,,더 뉴 말리부   2.0 터보 프리미어 스페셜 서울 중고차 : 엔카 - 드림카 플랫폼 엔카,1,1
40824196,2025-11-24 18:47:58,0,normal,1,1,1,1,1,1,1,1,1,1,,,,,"주소 : 서울특별시 중구 통일로2길 16, 18~19층(순화동)",1,0
40095658,2025-11-24 18:48:00,0,normal,1,0,1,1,1,1,1,1,1,1,,0.0,,,"주소 : 서울특별시 중구 통일로2길 16, 18~19층(순화동)",1,0
40889820,2025-11-24 18:48:03,0,normal,1,1,1,1,1,1,1,1,1,1,,,,,K8   3.5 LPG 2WD 프레스티지(렌터카) 경기 중고차 : 엔카 - 드림카 플랫폼 엔카,1,0
40751414,2025-11-24 18:48:06,0,excellent,1,1,1,1,1,1,1,1,1,1,,0.0,,,더 뉴 말리부   2.0 터보 프리미어 스페셜 서울 중고차 : 엔카 - 드림카 플랫폼 엔카,1,1
