car_id,is_accident_free,inspection_grade,has_sunroof,has_navigation,has_leather_seat,has_smart_key,has_rear_camera
40818183,0,normal,1,1,1,1,1
40997548,0,normal,1,1,1,1,1
40644974,0,good,1,1,1,1,1
40915663,0,normal,1,1,1,1,1
40849222,0,good,1,1,1,1,1
40922657,0,good,1,1,1,1,1
40990813,0,normal,1,1,1,1,1
40878393,0,normal,1,1,1,1,1
40997165,0,normal,1,1,1,1,1
41021710,0,good,1,1,1,1,1
40971387,0,normal,1,1,1,1,1
40297547,0,good,1,1,1,1,1
40094564,1,normal,1,1,1,1,1
40954779,0,good,1,1,1,1,1
40284458,0,good,1,1,1,1,1
40986338,0,normal,1,1,1,1,1
39963915,0,normal,1,1,1,1,1
39530287,1,normal,1,1,1,1,1
40878492,0,normal,1,1,1,1,1
40555934,0,good,1,1,1,1,1
40964008,0,normal,1,1,1,1,1
41017328,0,good,1,1,1,1,1
40134682,1,normal,1,1,1,1,1
40805860,0,good,1,1,1,1,1
40073624,1,normal,1,1,1,1,1
40872826,0,good,1,1,1,1,1
39998568,0,normal,1,1,1,1,1
41007604,1,good,1,1,1,1,1
41031564,0,normal,1,1,1,1,1
40990226,0,good,1,1,1,1,1
40154217,1,normal,1,1,1,1,1
40654220,0,normal,1,1,1,1,1
39838379,1,normal,1,1,1,1,1
40073609,1,normal,1,1,1,1,1
40905309,0,normal,1,1,1,1,1
40804753,0,normal,1,1,1,1,1
40848445,0,good,1,1,1,1,1
40817573,0,normal,1,1,1,1,1
40537816,0,normal,1,1,1,1,1
39370553,1,normal,1,1,1,1,1
40935529,1,normal,1,1,1,1,1
40536187,0,normal,1,1,1,1,1
40921442,0,normal,1,1,1,1,1
40538256,0,normal,1,1,1,1,1
40847925,0,normal,1,1,1,1,1
40295346,1,normal,1,1,1,1,1
40618488,0,normal,1,1,1,1,1
40848253,0,normal,1,1,1,1,1
40433079,0,normal,1,1,1,1,1
40716058,0,normal,1,1,1,1,1
40963258,0,normal,1,1,1,1,1
40569717,1,normal,1,1,1,1,1
41016882,0,normal,1,1,1,1,1
40611187,0,normal,1,1,1,1,1
