car_id,is_accident_free,inspection_grade,has_sunroof,has_navigation,has_leather_seat,has_smart_key,has_rear_camera
39784598,0,normal,1,1,1,1,1
40970287,0,normal,1,1,1,1,1
39857872,0,normal,1,1,1,1,1
40670505,0,normal,1,1,1,1,1
40922852,1,normal,1,1,1,1,1
40297546,0,normal,1,1,1,1,1
41032210,0,normal,1,1,1,1,1
41015952,0,normal,1,1,1,1,1
40260041,0,normal,1,1,1,1,1
40738292,1,normal,1,1,1,1,1
40515557,0,normal,1,1,1,1,1
40870224,0,normal,1,1,1,1,1
40405576,0,normal,1,1,1,1,1
40946890,1,normal,1,1,1,1,1
40692874,0,normal,1,1,1,1,1
40761186,0,normal,1,1,1,1,1
39832328,1,normal,1,1,1,1,1
40957418,1,normal,1,1,1,1,1
40832473,0,good,1,1,1,1,1
40670428,0,normal,1,1,1,1,1
40617089,0,normal,1,1,1,1,1
40815829,1,normal,1,1,1,1,1
40992096,0,normal,1,1,1,1,1
40705291,0,normal,1,1,1,1,1
40970195,0,normal,1,1,1,1,1
40761766,1,normal,1,1,1,1,1
40820499,1,normal,1,1,1,1,1
39597190,0,normal,1,1,1,1,1
40992566,1,normal,1,1,1,1,1
40689462,0,normal,1,1,1,1,1
40965280,1,normal,1,1,1,1,1
40830282,0,normal,1,1,1,1,1
40375072,0,normal,1,1,1,1,1
40810199,0,normal,1,1,1,1,1
40790330,0,normal,1,1,1,1,1
40922483,0,normal,1,1,1,1,1
40904190,0,normal,1,1,1,1,1
40997770,1,normal,1,1,1,1,1
40736407,0,normal,1,1,1,1,1
40339501,0,normal,1,1,1,1,1
40688969,0,normal,1,1,1,1,1
40611719,0,normal,0,0,0,0,0
40899035,1,normal,1,1,1,1,1
40582414,0,normal,0,0,0,0,0
40880353,1,normal,1,1,1,1,1
39889241,1,normal,1,1,1,1,1
40704499,0,normal,1,1,1,1,1
40786699,0,normal,1,1,1,1,1
40642345,0,normal,1,1,1,1,1
40589752,0,normal,1,1,1,1,1
40900381,0,normal,1,1,1,1,1
40726752,0,normal,1,1,1,1,1
41005652,0,normal,1,1,1,1,1
40377644,1,normal,1,1,1,1,1
40755375,0,normal,1,1,1,1,1
40922175,0,normal,1,1,1,1,1
40848404,0,normal,1,1,1,1,1
38923038,1,normal,1,1,1,1,1
40030175,1,normal,1,1,1,1,1
36677492,0,normal,0,0,0,0,0
40981564,0,normal,1,1,1,1,1
40679192,1,normal,1,1,1,1,1
40968208,0,normal,1,1,1,1,1
40921755,0,normal,1,1,1,1,1
40457846,0,normal,1,1,1,1,1
40351025,0,normal,1,1,1,1,1
40732174,1,normal,1,1,1,1,1
40816547,0,normal,1,1,1,1,1
40863583,0,normal,1,1,1,1,1
39896514,0,normal,1,1,1,1,1
39170730,1,normal,1,1,1,1,1
38778726,1,normal,1,1,1,1,1
40738952,0,normal,1,1,1,1,1
40642257,0,normal,1,1,1,1,1
40497066,0,good,1,1,1,1,1
40199811,1,normal,1,1,1,1,1
40339870,0,good,1,1,1,1,1
37606519,1,good,1,1,1,1,1
40932060,0,normal,1,1,1,1,1
40774801,1,normal,1,1,1,1,1
36790352,1,normal,1,1,1,1,1
40327923,1,normal,1,1,1,1,1
38637573,0,normal,1,1,1,1,1
40769621,0,normal,1,1,1,1,1
41024765,0,normal,1,1,1,1,1
40847451,0,normal,1,1,1,1,1
40914258,0,normal,1,1,1,1,1
29444214,0,normal,1,1,1,1,1
40698117,0,normal,1,1,1,1,1
41009033,0,normal,1,1,1,1,1
40842267,0,normal,1,1,1,1,1
39727980,0,normal,1,1,1,1,1
39261545,1,normal,1,1,1,1,1
40388044,1,normal,1,1,1,1,1
39612961,0,normal,1,1,1,1,1
40367286,1,normal,1,1,1,1,1
40558311,1,normal,1,1,1,1,1
40877763,1,normal,1,1,1,1,1
41012586,0,normal,1,1,1,1,1
40863566,0,normal,1,1,1,1,1
40918283,1,normal,1,1,1,1,1
41002141,0,normal,1,1,1,1,1
40320029,1,normal,1,1,1,1,1
41011660,0,normal,1,1,1,1,1
37741147,0,good,1,1,1,1,1
37246159,1,normal,1,1,1,1,1
38244781,0,normal,1,1,1,1,1
40203636,0,normal,1,1,1,1,1
40778013,0,normal,1,1,1,1,1
39997409,1,normal,1,1,1,1,1
37046042,1,normal,1,1,1,1,1
40610476,0,good,1,1,1,1,1
39781884,1,good,1,1,1,1,1
40677912,1,good,1,1,1,1,1
37502055,0,good,1,1,1,1,1
39461164,0,good,1,1,1,1,1
38143499,1,normal,1,1,1,1,1
40370696,1,normal,1,1,1,1,1
40517233,1,normal,1,1,1,1,1
40085256,1,normal,1,1,1,1,1
38980392,0,good,1,1,1,1,1
40559519,1,normal,1,1,1,1,1
39585443,0,good,1,1,1,1,1
33312875,0,normal,1,1,1,1,1
39394148,1,normal,1,1,1,1,1
39745787,1,normal,1,1,1,1,1
40664174,0,normal,1,1,1,1,1
40654174,0,normal,1,1,1,1,1
40085290,1,normal,1,1,1,1,1
40830692,0,normal,1,1,1,1,1
40947898,0,normal,1,1,1,1,1
40669245,0,normal,1,1,1,1,1
35666254,0,normal,1,1,1,1,1
40057670,0,normal,1,1,1,1,1
40960677,0,normal,1,1,1,1,1
40251286,0,normal,1,1,1,1,1
31600346,0,normal,1,1,1,1,1
40222897,0,normal,1,1,1,1,1
40738871,0,normal,1,1,1,1,1
40850737,0,normal,1,1,1,1,1
32062023,0,normal,1,1,1,1,1
40070531,0,normal,1,1,1,1,1
39974534,0,normal,1,1,1,1,1
40438082,0,normal,1,1,1,1,1
39634633,0,normal,1,1,1,1,1
32219714,0,normal,1,1,1,1,1
40944770,1,normal,1,1,1,1,1
40536990,0,normal,1,1,1,1,1
40763828,0,normal,1,1,1,1,1
40845529,1,normal,1,1,1,1,1
39301291,1,normal,1,1,1,1,1
40770396,0,normal,1,1,1,1,1
40966173,0,good,1,1,1,1,1
39445794,0,normal,1,1,1,1,1
40617640,1,normal,1,1,1,1,1
40187163,1,normal,1,1,1,1,1
